x,y
1985-01-04,1000
1985-01-07,998
1985-01-08,996
1985-01-09,994
1985-01-10,980
1985-01-11,980
1985-01-14,974
1985-01-15,973
1985-01-16,979
1985-01-17,984
1985-01-18,984
1985-01-21,976
1985-01-22,976
1985-01-23,977
1985-01-24,975
1985-01-25,972
1985-01-28,970
1985-01-29,972
1985-01-30,973
1985-01-31,972
1985-02-01,974
1985-02-04,974
1985-02-05,972
1985-02-06,970
1985-02-07,969
1985-02-08,966
1985-02-11,967
1985-02-12,966
1985-02-13,966
1985-02-14,966
1985-02-15,974
1985-02-18,973
1985-02-19,972
1985-02-20,974
1985-02-21,976
1985-02-22,984
1985-02-25,985
1985-02-26,986
1985-02-27,986
1985-02-28,984
1985-03-01,984
1985-03-04,982
1985-03-05,980
1985-03-06,987
1985-03-07,990
1985-03-08,988
1985-03-11,992
1985-03-12,990
1985-03-13,992
1985-03-14,990
1985-03-15,994
1985-03-18,1000
1985-03-19,1002
1985-03-20,1000
1985-03-21,1000
1985-03-22,998
1985-03-25,996
1985-03-26,998
1985-03-27,997
1985-03-28,1008
1985-03-29,1016
1985-04-01,1018
1985-04-02,1020
1985-04-03,1026
1985-04-04,1026
1985-04-05,1026
1985-04-08,1026
1985-04-09,1022
1985-04-10,1022
1985-04-11,1024
1985-04-12,1028
1985-04-15,1064
1985-04-16,1064
1985-04-17,1058
1985-04-18,1056
1985-04-19,1059
1985-04-22,1062
1985-04-23,1062
1985-04-24,1058
1985-04-25,1058
1985-04-26,1057
1985-04-29,1059
1985-04-30,1063
1985-05-01,1062
1985-05-02,1058
1985-05-03,1058
1985-05-06,1058
1985-05-07,1056
1985-05-08,1056
1985-05-09,1053
1985-05-10,1032
1985-05-13,1024
1985-05-14,1018
1985-05-15,1010
1985-05-16,1000
1985-05-17,990
1985-05-20,990
1985-05-21,984
1985-05-22,979
1985-05-23,974
1985-05-24,968
1985-05-27,968
1985-05-28,954
1985-05-29,950
1985-05-30,942
1985-05-31,932
1985-06-03,931
1985-06-04,930
1985-06-05,931
1985-06-06,932
1985-06-07,930
1985-06-10,926
1985-06-11,922
1985-06-12,919
1985-06-13,917
1985-06-14,926
1985-06-17,928
1985-06-18,925
1985-06-19,918
1985-06-20,911
1985-06-21,896
1985-06-24,892
1985-06-25,891
1985-06-26,890
1985-06-27,884
1985-06-28,872
1985-07-01,864
1985-07-02,854
1985-07-03,838
1985-07-04,818
1985-07-05,807
1985-07-08,803
1985-07-09,801
1985-07-10,792
1985-07-11,792
1985-07-12,784
1985-07-15,776
1985-07-16,773
1985-07-17,770
1985-07-18,764
1985-07-19,764
1985-07-22,760
1985-07-23,760
1985-07-24,754
1985-07-25,748
1985-07-26,746
1985-07-29,732
1985-07-30,728
1985-07-31,726
1985-08-01,718
1985-08-02,716
1985-08-05,716
1985-08-06,714
1985-08-07,712
1985-08-08,713
1985-08-09,716
1985-08-12,717
1985-08-13,718
1985-08-14,718
1985-08-15,724
1985-08-16,726
1985-08-19,726
1985-08-20,730
1985-08-21,732
1985-08-22,736
1985-08-23,740
1985-08-26,740
1985-08-27,742
1985-08-28,740
1985-08-29,739
1985-08-30,738
1985-09-02,738
1985-09-03,740
1985-09-04,740
1985-09-05,737
1985-09-06,735
1985-09-09,736
1985-09-10,740
1985-09-11,747
1985-09-12,755
1985-09-13,760
1985-09-16,760
1985-09-17,760
1985-09-18,765
1985-09-19,779
1985-09-20,806
1985-09-23,820
1985-09-24,826
1985-09-25,840
1985-09-26,866
1985-09-27,883
1985-09-30,894
1985-10-01,906
1985-10-02,906
1985-10-03,903
1985-10-04,886
1985-10-07,884
1985-10-08,883
1985-10-09,868
1985-10-10,869
1985-10-11,872
1985-10-14,884
1985-10-15,888
1985-10-16,888
1985-10-17,891
1985-10-18,896
1985-10-21,897
1985-10-22,898
1985-10-23,898
1985-10-24,903
1985-10-25,902
1985-10-28,902
1985-10-29,902
1985-10-30,904
1985-10-31,905
1985-11-01,906
1985-11-04,910
1985-11-05,914
1985-11-06,914
1985-11-07,911
1985-11-08,910
1985-11-11,898
1985-11-12,894
1985-11-13,892
1985-11-14,891
1985-11-15,890
1985-11-18,892
1985-11-19,895
1985-11-20,904
1985-11-21,903
1985-11-22,902
1985-11-25,902
1985-11-26,901
1985-11-27,900
1985-11-28,912
1985-11-29,915
1985-12-02,916
1985-12-03,920
1985-12-04,920
1985-12-05,922
1985-12-06,920
1985-12-09,918
1985-12-10,918
1985-12-11,916
1985-12-12,910
1985-12-13,907
1985-12-16,902
1985-12-17,900
1985-12-18,897
1985-12-19,895
1985-12-20,894
1985-12-23,894
1985-12-24,894
1985-12-25,894
1985-12-26,894
1985-12-27,894
1985-12-30,896
1985-12-31,898
1986-01-01,898
1986-01-02,898
1986-01-03,898
1986-01-06,904
1986-01-07,902
1986-01-08,906
1986-01-09,914
1986-01-10,920
1986-01-13,918
1986-01-14,917
1986-01-15,912
1986-01-16,909
1986-01-17,906
1986-01-20,908
1986-01-21,904
1986-01-22,894
1986-01-23,892
1986-01-24,887
1986-01-27,883
1986-01-28,869
1986-01-29,846
1986-01-30,836
1986-01-31,831
1986-02-03,828
1986-02-04,821
1986-02-05,812
1986-02-06,799
1986-02-07,796
1986-02-10,796
1986-02-11,789
1986-02-12,786
1986-02-13,784
1986-02-14,780
1986-02-17,770
1986-02-18,768
1986-02-19,761
1986-02-20,753
1986-02-21,749
1986-02-24,742
1986-02-25,739
1986-02-26,738
1986-02-27,737
1986-02-28,737
1986-03-03,734
1986-03-04,733
1986-03-05,736
1986-03-06,739
1986-03-07,739
1986-03-10,741
1986-03-11,742
1986-03-12,742
1986-03-13,746
1986-03-14,744
1986-03-17,744
1986-03-18,746
1986-03-19,748
1986-03-20,746
1986-03-21,744
1986-03-24,742
1986-03-25,740
1986-03-26,736
1986-03-27,734
1986-03-28,734
1986-03-31,734
1986-04-01,732
1986-04-02,732
1986-04-03,731
1986-04-04,728
1986-04-07,723
1986-04-08,714
1986-04-09,705
1986-04-10,702
1986-04-11,696
1986-04-14,689
1986-04-15,684
1986-04-16,681
1986-04-17,682
1986-04-18,685
1986-04-21,686
1986-04-22,680
1986-04-23,676
1986-04-24,674
1986-04-25,667
1986-04-28,664
1986-04-29,659
1986-04-30,658
1986-05-01,658
1986-05-02,654
1986-05-05,654
1986-05-06,654
1986-05-07,654
1986-05-08,654
1986-05-09,656
1986-05-12,659
1986-05-13,658
1986-05-14,661
1986-05-15,669
1986-05-16,668
1986-05-19,664
1986-05-20,664
1986-05-21,665
1986-05-22,664
1986-05-23,664
1986-05-26,664
1986-05-27,662
1986-05-28,664
1986-05-29,665
1986-05-30,665
1986-06-02,663
1986-06-03,662
1986-06-04,662
1986-06-05,661
1986-06-06,664
1986-06-09,665
1986-06-10,664
1986-06-11,660
1986-06-12,658
1986-06-13,654
1986-06-16,650
1986-06-17,650
1986-06-18,648
1986-06-19,646
1986-06-20,639
1986-06-23,637
1986-06-24,636
1986-06-25,620
1986-06-26,592
1986-06-27,586
1986-06-30,586
1986-07-01,584
1986-07-02,585
1986-07-03,582
1986-07-04,582
1986-07-07,581
1986-07-08,581
1986-07-09,579
1986-07-10,576
1986-07-11,572
1986-07-14,572
1986-07-15,570
1986-07-16,572
1986-07-17,574
1986-07-18,574
1986-07-21,572
1986-07-22,570
1986-07-23,569
1986-07-24,568
1986-07-25,566
1986-07-28,567
1986-07-29,559
1986-07-30,556
1986-07-31,554
1986-08-01,556
1986-08-04,554
1986-08-05,554
1986-08-06,554
1986-08-07,555
1986-08-08,556
1986-08-11,558
1986-08-12,562
1986-08-13,568
1986-08-14,570
1986-08-15,572
1986-08-18,574
1986-08-19,576
1986-08-20,589
1986-08-21,608
1986-08-22,628
1986-08-25,628
1986-08-26,636
1986-08-27,644
1986-08-28,658
1986-08-29,664
1986-09-01,672
1986-09-02,678
1986-09-03,700
1986-09-04,714
1986-09-05,718
1986-09-08,728
1986-09-09,734
1986-09-10,736
1986-09-11,743
1986-09-12,750
1986-09-15,752
1986-09-16,753
1986-09-17,756
1986-09-18,764
1986-09-19,770
1986-09-22,774
1986-09-23,770
1986-09-24,771
1986-09-25,790
1986-09-26,792
1986-09-29,800
1986-09-30,800
1986-10-01,794
1986-10-02,796
1986-10-03,795
1986-10-06,794
1986-10-07,794
1986-10-08,795
1986-10-09,792
1986-10-10,792
1986-10-13,788
1986-10-14,788
1986-10-15,786
1986-10-16,794
1986-10-17,794
1986-10-20,789
1986-10-21,784
1986-10-22,786
1986-10-23,786
1986-10-24,784
1986-10-27,786
1986-10-28,786
1986-10-29,786
1986-10-30,786
1986-10-31,786
1986-11-03,784
1986-11-04,782
1986-11-05,779
1986-11-06,777
1986-11-07,780
1986-11-10,787
1986-11-11,786
1986-11-12,781
1986-11-13,780
1986-11-14,779
1986-11-17,778
1986-11-18,778
1986-11-19,774
1986-11-20,770
1986-11-21,766
1986-11-24,762
1986-11-25,758
1986-11-26,750
1986-11-27,747
1986-11-28,738
1986-12-01,736
1986-12-02,730
1986-12-03,722
1986-12-04,718
1986-12-05,713
1986-12-08,710
1986-12-09,709
1986-12-10,708
1986-12-11,706
1986-12-12,706
1986-12-15,706
1986-12-16,705
1986-12-17,700
1986-12-18,699
1986-12-19,696
1986-12-22,694
1986-12-23,694
1986-12-24,694
1986-12-25,694
1986-12-26,694
1986-12-29,696
1986-12-30,697
1986-12-31,699
1987-01-01,699
1987-01-02,699
1987-01-05,703
1987-01-06,710
1987-01-07,720
1987-01-08,740
1987-01-09,766
1987-01-12,788
1987-01-13,789
1987-01-14,803
1987-01-15,814
1987-01-16,827
1987-01-19,852
1987-01-20,858
1987-01-21,854
1987-01-22,853
1987-01-23,863
1987-01-26,864
1987-01-27,863
1987-01-28,864
1987-01-29,866
1987-01-30,866
1987-02-02,862
1987-02-03,858
1987-02-04,856
1987-02-05,856
1987-02-06,855
1987-02-09,856
1987-02-10,855
1987-02-11,854
1987-02-12,856
1987-02-13,855
1987-02-16,855
1987-02-17,854
1987-02-18,856
1987-02-19,851
1987-02-20,850
1987-02-23,852
1987-02-24,848
1987-02-25,848
1987-02-26,851
1987-02-27,852
1987-03-02,856
1987-03-03,859
1987-03-04,860
1987-03-05,862
1987-03-06,866
1987-03-09,868
1987-03-10,872
1987-03-11,873
1987-03-12,884
1987-03-13,890
1987-03-16,904
1987-03-17,907
1987-03-18,909
1987-03-19,924
1987-03-20,946
1987-03-23,954
1987-03-24,959
1987-03-25,980
1987-03-26,988
1987-03-27,992
1987-03-30,991
1987-03-31,992
1987-04-01,998
1987-04-02,1014
1987-04-03,1025
1987-04-06,1033
1987-04-07,1030
1987-04-08,1024
1987-04-09,1023
1987-04-10,1018
1987-04-13,1010
1987-04-14,1008
1987-04-15,1001
1987-04-16,1000
1987-04-17,1000
1987-04-20,1000
1987-04-21,1000
1987-04-22,1002
1987-04-23,1003
1987-04-24,1006
1987-04-27,1014
1987-04-28,1016
1987-04-29,1019
1987-04-30,1020
1987-05-01,1025
1987-05-04,1025
1987-05-05,1027
1987-05-06,1034
1987-05-07,1052
1987-05-08,1066
1987-05-11,1078
1987-05-12,1084
1987-05-13,1088
1987-05-14,1102
1987-05-15,1101
1987-05-18,1100
1987-05-19,1094
1987-05-20,1088
1987-05-21,1084
1987-05-22,1084
1987-05-25,1084
1987-05-26,1079
1987-05-27,1075
1987-05-28,1076
1987-05-29,1070
1987-06-01,1070
1987-06-02,1047
1987-06-03,1024
1987-06-04,1015
1987-06-05,990
1987-06-08,986
1987-06-09,986
1987-06-10,980
1987-06-11,977
1987-06-12,977
1987-06-15,974
1987-06-16,966
1987-06-17,960
1987-06-18,948
1987-06-19,938
1987-06-22,929
1987-06-23,925
1987-06-24,917
1987-06-25,901
1987-06-26,892
1987-06-29,886
1987-06-30,880
1987-07-01,874
1987-07-02,874
1987-07-03,884
1987-07-06,893
1987-07-07,911
1987-07-08,920
1987-07-09,923
1987-07-10,924
1987-07-13,922
1987-07-14,922
1987-07-15,924
1987-07-16,924
1987-07-17,930
1987-07-20,948
1987-07-21,956
1987-07-22,966
1987-07-23,970
1987-07-24,972
1987-07-27,974
1987-07-28,973
1987-07-29,965
1987-07-30,970
1987-07-31,976
1987-08-03,982
1987-08-04,994
1987-08-05,1003
1987-08-06,1014
1987-08-07,1039
1987-08-10,1060
1987-08-11,1074
1987-08-12,1118
1987-08-13,1126
1987-08-14,1127
1987-08-17,1129
1987-08-18,1128
1987-08-19,1129
1987-08-20,1129
1987-08-21,1128
1987-08-24,1128
1987-08-25,1120
1987-08-26,1102
1987-08-27,1110
1987-08-28,1111
1987-08-31,1111
1987-09-01,1105
1987-09-02,1084
1987-09-03,1066
1987-09-04,1064
1987-09-07,1060
1987-09-08,1060
1987-09-09,1062
1987-09-10,1062
1987-09-11,1060
1987-09-14,1049
1987-09-15,1048
1987-09-16,1046
1987-09-17,1038
1987-09-18,1034
1987-09-21,1032
1987-09-22,1035
1987-09-23,1026
1987-09-24,1033
1987-09-25,1038
1987-09-28,1043
1987-09-29,1043
1987-09-30,1045
1987-10-01,1052
1987-10-02,1064
1987-10-05,1068
1987-10-06,1071
1987-10-07,1075
1987-10-08,1080
1987-10-09,1084
1987-10-12,1086
1987-10-13,1086
1987-10-14,1086
1987-10-15,1088
1987-10-16,1088
1987-10-19,1098
1987-10-20,1105
1987-10-21,1124
1987-10-22,1136
1987-10-23,1144
1987-10-26,1148
1987-10-27,1148
1987-10-28,1158
1987-10-29,1168
1987-10-30,1172
1987-11-02,1172
1987-11-03,1172
1987-11-04,1172
1987-11-05,1174
1987-11-06,1175
1987-11-09,1175
1987-11-10,1174
1987-11-11,1172
1987-11-12,1170
1987-11-13,1164
1987-11-16,1156
1987-11-17,1154
1987-11-18,1156
1987-11-19,1153
1987-11-20,1152
1987-11-23,1154
1987-11-24,1159
1987-11-25,1168
1987-11-26,1169
1987-11-27,1172
1987-11-30,1176
1987-12-01,1184
1987-12-02,1214
1987-12-03,1226
1987-12-04,1231
1987-12-07,1238
1987-12-08,1259
1987-12-09,1270
1987-12-10,1267
1987-12-11,1270
1987-12-14,1271
1987-12-15,1268
1987-12-16,1268
1987-12-17,1264
1987-12-18,1260
1987-12-21,1260
1987-12-22,1262
1987-12-23,1262
1987-12-24,1262
1987-12-25,1262
1987-12-28,1262
1987-12-29,1262
1987-12-30,1259
1987-12-31,1264
1988-01-01,1264
1988-01-04,1266
1988-01-05,1270
1988-01-06,1284
1988-01-07,1296
1988-01-08,1320
1988-01-11,1350
1988-01-12,1362
1988-01-13,1369
1988-01-14,1374
1988-01-15,1384
1988-01-18,1386
1988-01-19,1390
1988-01-20,1398
1988-01-21,1402
1988-01-22,1400
1988-01-25,1394
1988-01-26,1391
1988-01-27,1390
1988-01-28,1388
